Report,From Date,To Date,Initiative,Agent
ICV Recycled,Confirmed,4,,
ICV Recycled,Do Not Call,3,,
ICV Recycled,Instant Refusal,22,,
ICV Recycled,No Survey,1,,
ICV Recycled,Not Interested,42,,
ICV Recycled,Promised RG,1,,
ICV Recycled,Uncontactable,3,,
ICV Recycled,Wrong Number,23,,
ICV Upgrades,Answer Machine,340,,
ICV Upgrades,Call Back - Queue,32,,
ICV Upgrades,Callback - Agent,11,,
ICV Upgrades,Confirmed,9,,
ICV Upgrades,Disconnected Number,3,,
ICV Upgrades,Do Not Call,1,,
ICV Upgrades,Instant Refusal,2,,
ICV Upgrades,Max Attempts,280,,
ICV Upgrades,Not Interested,18,,
ICV Upgrades,Previously Cancelled,3,,
ICV Upgrades,Uncontactable,7,,
ICV Upgrades,Updated Details Only,1,,
The Smith Family Bank Rejects,Already a Supporter,1,,
The Smith Family Bank Rejects,Answer Machine,658,,
The Smith Family Bank Rejects,Call Back - Queue,17,,
The Smith Family Bank Rejects,Callback - Agent,23,,
The Smith Family Bank Rejects,Confirmed,1,,
The Smith Family Bank Rejects,Confirmed No Child,19,,
The Smith Family Bank Rejects,Disconnected Number,12,,
The Smith Family Bank Rejects,Do Not Call,1,,
The Smith Family Bank Rejects,Instant Refusal,6,,
The Smith Family Bank Rejects,Max Attempts,138,,
The Smith Family Bank Rejects,Not Interested,22,,
The Smith Family Bank Rejects,Uncontactable,1,,
The Smith Family Bank Rejects,Wrong Number,3,,
The Smith Family Lead Conversion,Already a Supporter,15,,
The Smith Family Lead Conversion,Answer Machine,5522,,
The Smith Family Lead Conversion,Call Back - Queue,560,,
The Smith Family Lead Conversion,Callback - Agent,318,,
The Smith Family Lead Conversion,Confirmed,11,,
The Smith Family Lead Conversion,Confirmed No Child,5,,
The Smith Family Lead Conversion,Deceased,1,,
The Smith Family Lead Conversion,Disconnected Number,58,,
The Smith Family Lead Conversion,Do Not Call,80,,
The Smith Family Lead Conversion,Instant Refusal,245,,
The Smith Family Lead Conversion,Max Attempts,4,,
The Smith Family Lead Conversion,No Survey,9,,
The Smith Family Lead Conversion,Not Asked,12,,
The Smith Family Lead Conversion,Not Interested,299,,
The Smith Family Lead Conversion,Single Gift,1,,
The Smith Family Lead Conversion,Uncontactable,35,,
The Smith Family Lead Conversion,Wrong Number,77,,
The Smith Family Lead Conversion (IAC),Answer Machine,220,,
The Smith Family Lead Conversion (IAC),Call Back - Queue,19,,
The Smith Family Lead Conversion (IAC),Callback - Agent,5,,
The Smith Family Lead Conversion (IAC),Confirmed No Child,2,,
The Smith Family Lead Conversion (IAC),Do Not Call,2,,
The Smith Family Lead Conversion (IAC),Instant Refusal,9,,
The Smith Family Lead Conversion (IAC),Not Asked,1,,
The Smith Family Lead Conversion (IAC),Not Interested,15,,
The Smith Family Lead Conversion (IAC),Single Gift,1,,
The Smith Family Lead Conversion (Quinn),Already a Supporter,2,,
The Smith Family Lead Conversion (Quinn),Answer Machine,267,,
The Smith Family Lead Conversion (Quinn),Call Back - Queue,36,,
The Smith Family Lead Conversion (Quinn),Callback - Agent,13,,
The Smith Family Lead Conversion (Quinn),Confirmed No Child,2,,
The Smith Family Lead Conversion (Quinn),Disconnected Number,1,,
The Smith Family Lead Conversion (Quinn),Do Not Call,1,,
The Smith Family Lead Conversion (Quinn),Instant Refusal,3,,
The Smith Family Lead Conversion (Quinn),No Survey,1,,
The Smith Family Lead Conversion (Quinn),Not Interested,35,,
The Smith Family Lead Conversion (Quinn),Single Gift,1,,
The Smith Family Lead Conversion (Quinn),Uncontactable,6,,
The Smith Family Lead Conversion (ReachTel),Already a Supporter,21,,
The Smith Family Lead Conversion (ReachTel),Answer Machine,796,,
The Smith Family Lead Conversion (ReachTel),Call Back - Queue,413,,
The Smith Family Lead Conversion (ReachTel),Callback - Agent,74,,
The Smith Family Lead Conversion (ReachTel),Confirmed,1,,
The Smith Family Lead Conversion (ReachTel),Confirmed No Child,7,,
The Smith Family Lead Conversion (ReachTel),Deceased,3,,
The Smith Family Lead Conversion (ReachTel),Disconnected Number,1,,
The Smith Family Lead Conversion (ReachTel),Do Not Call,26,,
The Smith Family Lead Conversion (ReachTel),Instant Refusal,171,,
The Smith Family Lead Conversion (ReachTel),No Survey,5,,
The Smith Family Lead Conversion (ReachTel),Not Asked,12,,
The Smith Family Lead Conversion (ReachTel),Not Interested,181,,
The Smith Family Lead Conversion (ReachTel),Promised RG,2,,
The Smith Family Lead Conversion (ReachTel),Promised SG,2,,
The Smith Family Lead Conversion (ReachTel),Single Gift,2,,
The Smith Family Lead Conversion (ReachTel),Uncontactable,17,,
The Smith Family Lead Conversion (ReachTel),Wrong Number,68,,
WAP Bank Rejects,Already a Supporter,1,,
WAP Bank Rejects,Answer Machine,169,,
WAP Bank Rejects,Call Back - Agent,24,,
WAP Bank Rejects,Call Back - Queue,17,,
WAP Bank Rejects,Confirmed,25,,
WAP Bank Rejects,Do Not Call,1,,
WAP Bank Rejects,Instant Refusal,1,,
WAP Bank Rejects,Max Attempts,39,,
WAP Bank Rejects,Not Interested,14,,
WAP Bank Rejects,Uncontactable,1,,
WAP Bank Rejects,Wrong Number,1,,
WAP Lapsed (Long Lapsed),Answer Machine,98,,
WAP Lapsed (Long Lapsed),Call Back - Queue,6,,
WAP Lapsed (Long Lapsed),Callback - Agent,17,,
WAP Lapsed (Long Lapsed),Confirmed,1,,
WAP Lapsed (Long Lapsed),Disconnected,1,,
WAP Lapsed (Long Lapsed),Instant Refusal,2,,
WAP Lapsed (Long Lapsed),Not Interested,5,,
WAP Lapsed (Long Lapsed),Single Gift,1,,
WAP Lapsed (Long Lapsed),Wrong Number,2,,
WAP Lapsed 2015 & New,Already a supporter,1,,
WAP Lapsed 2015 & New,Answer Machine,1101,,
WAP Lapsed 2015 & New,Call Back - Queue,33,,
WAP Lapsed 2015 & New,Callback - Agent,19,,
WAP Lapsed 2015 & New,Confirmed,7,,
WAP Lapsed 2015 & New,Disconnected,35,,
WAP Lapsed 2015 & New,Do Not Call,3,,
WAP Lapsed 2015 & New,Instant Refusal,5,,
WAP Lapsed 2015 & New,Max Attempts,4,,
WAP Lapsed 2015 & New,Not Interested,26,,
WAP Lapsed 2015 & New,Promised RG,1,,
WAP Lapsed 2015 & New,Uncontactable,3,,
WAP Lapsed 2015 & New,Wrong Number,3,,
WAP Supporter Conversion,Answer Machine,709,,
WAP Supporter Conversion,Call Back - Agent,72,,
WAP Supporter Conversion,Call Back - Queue,65,,
WAP Supporter Conversion,Confirmed,2,,
WAP Supporter Conversion,Deceased,1,,
WAP Supporter Conversion,Disconnected,58,,
WAP Supporter Conversion,Do Not Call,2,,
WAP Supporter Conversion,Instant Refusal,8,,
WAP Supporter Conversion,Not Interested,35,,
WAP Supporter Conversion,Single Gift,5,,
WAP Supporter Conversion,Uncontactable,2,,
WAP Supporter Conversion,Wrong Number,10,,
WAP Thank You,Answer Machine,401,,
WAP Thank You,Call Back - Queue,14,,
WAP Thank You,Confirmed,98,,
WAP Thank You,Instant Refusal,4,,
WAP Thank You,Left Voicemail,46,,
WAP Thank You,No Voicemail,29,,
WAP Thank You,Uncontactable,3,,
WAP Thank You,Wrong Number,3,,
WAP Upgrades,Answer Machine,979,,
WAP Upgrades,Call Back - Queue,154,,
WAP Upgrades,Callback - Agent,24,,
WAP Upgrades,Confirmed,24,,
WAP Upgrades,Disconnected,18,,
WAP Upgrades,Do Not Call,6,,
WAP Upgrades,Instant Refusal,17,,
WAP Upgrades,Max Attempts,77,,
WAP Upgrades,Not Interested,59,,
WAP Upgrades,Previously Cancelled,2,,
WAP Upgrades,Uncontactable,2,,
WAP Upgrades,Updated Details Only,1,,
WAP Upgrades,Wrong Number,1,,
Total,,30799,,
Showing 1 to 309 of 309 entries,,,,
* Date format is 'DD:HH:MM:SS',,,,
